iterations,auc2,auc1,auc0,auc3,auc5,auc4,auc7,auc6,auc8,auc9,auc10,auc11,auc12,auc14,auc13
20,0.897885739991,0.896200005543,0.923132183908,0.88184802497,0.870556619838,0.886476159724,0.88299486883,0.908073350798,0.897067280046,0.899267091865,0.913392761823,0.903581267218,0.889131451739,0.912270642202,0.898175796732
40,0.909264110503,0.907813409463,0.933349297573,0.896055322355,0.886174968072,0.906011193628,0.894726698947,0.918155116298,0.908349078562,0.911883182276,0.921906693712,0.915692083788,0.89770778107,0.920516601136,0.915902057658
60,0.913233309518,0.91208182045,0.938750532141,0.901463782155,0.893438697318,0.913787536325,0.899785598998,0.920801248975,0.912374380459,0.915128119056,0.92284082417,0.921643536566,0.899864857841,0.923492791612,0.92076117053
80,0.915694212908,0.91388342249,0.94002767135,0.904235281455,0.897243507876,0.916559035626,0.902869119029,0.92133047551,0.913661381746,0.914932303905,0.921986762037,0.923878579968,0.900878424035,0.925404106597,0.921901297573
100,0.917176047207,0.913717120763,0.940958918689,0.905984285868,0.899052788421,0.918308040039,0.904121799041,0.921118784896,0.913606615734,0.914708515162,0.921853314829,0.925853734602,0.900254690992,0.925868283093,0.92130408817
120,0.917758196396,0.913661686854,0.940772669221,0.907491120439,0.900702426564,0.919169088365,0.905181759052,0.920536635707,0.912648210521,0.914512700011,0.921346215437,0.926477467644,0.899007224908,0.926141328091,0.921195504642
140,0.918075732317,0.912968762992,0.940187313751,0.908594338607,0.9009951043,0.919330534926,0.906241719062,0.919848641211,0.911689805307,0.913393756294,0.921079321021,0.9273091117,0.898097614221,0.926141328091,0.92089689994
160,0.91796988701,0.912497574766,0.939788207748,0.908540523087,0.900888676032,0.91986869013,0.906217629062,0.91871080416,0.910567102056,0.912666442878,0.920332016654,0.927750922605,0.897058059151,0.92625054609,0.920299690537
180,0.918181577624,0.912525291721,0.939814814815,0.908029275643,0.900649212431,0.920030136691,0.90696441907,0.918022809664,0.909718228867,0.912190891798,0.920011743354,0.928062789126,0.896070481834,0.92625054609,0.919431022314
200,0.917837580376,0.91208182045,0.939256066411,0.90762565924,0.900782247765,0.920003228931,0.907518489075,0.916964356593,0.908157397519,0.911603446347,0.919424575638,0.928036800249,0.895108893394,0.925458715596,0.918698083501
220,0.917572967109,0.91127802877,0.938910174542,0.907464212679,0.900329927629,0.919599612528,0.907663029077,0.916038210156,0.907582354391,0.911071948081,0.918677271271,0.927932844742,0.894225271584,0.9250218436,0.918453770563
240,0.916805588632,0.91102857618,0.938058748404,0.907302766118,0.90006385696,0.919680335809,0.90802437908,0.91527083168,0.905501245927,0.9102047667,0.917903277463,0.927958833619,0.892665938978,0.924530362604,0.917965144688
260,0.916540975365,0.910391086227,0.937233929332,0.906979872995,0.899212430822,0.919761059089,0.90804846908,0.914185917282,0.904980968811,0.909337585319,0.917182662539,0.927854878112,0.89136649514,0.924120795107,0.917747977632
280,0.916223439443,0.909420992821,0.936861430396,0.906630072113,0.898786717752,0.919626520288,0.907831659078,0.912942234924,0.904405925683,0.908554324717,0.916568805381,0.927491033838,0.890352928946,0.923274355614,0.91717791411
300,0.915932364849,0.908894370687,0.936036611324,0.906334086751,0.89796189868,0.919061457324,0.908289369083,0.912254240428,0.90385826556,0.908414456753,0.916248532081,0.927127189563,0.88936535163,0.922919397117,0.916797871763
320,0.915694212908,0.908340031597,0.93547786292,0.906065009149,0.89745636441,0.918953826284,0.90802437908,0.911963165833,0.90322845642,0.90791093208,0.915768122131,0.926945267426,0.888325796559,0.922427916121,0.916363537651
340,0.91550898362,0.907619390781,0.935424648787,0.905634484985,0.896977437207,0.91841567108,0.907663029077,0.911275171337,0.902297434212,0.90723956585,0.915234333298,0.926659389781,0.887416185872,0.921936435125,0.91606493295
360,0.915244370353,0.907148202556,0.934998935717,0.905607577225,0.896924223074,0.918065870197,0.907422129074,0.910560715514,0.901366412005,0.906987803513,0.914753923348,0.926243567753,0.886350641925,0.921554172128,0.915739182366
380,0.914715143817,0.906871033011,0.93489250745,0.905230868582,0.896578331205,0.917823700355,0.907181229072,0.910137334286,0.90076398587,0.90656819962,0.914273513398,0.926035656739,0.885544986746,0.92119921363,0.915549161192
400,0.914424069223,0.906178109149,0.934360366113,0.9048810677,0.895966368668,0.917204821871,0.907205319072,0.909634569077,0.899915112681,0.905896833389,0.913606277357,0.925827745725,0.884453453922,0.920762341634,0.915223410609
420,0.914106533302,0.905706920924,0.933934653044,0.904611990098,0.895514048531,0.916962652029,0.907205319072,0.909422878463,0.899230537528,0.905421282309,0.91317924629,0.92538593482,0.883491865482,0.920762341634,0.915006243553
440,0.913736074727,0.90537431747,0.933429118774,0.904746528899,0.895114942529,0.916612851146,0.906843969068,0.909131803869,0.898737643418,0.904861810451,0.912778904665,0.924918135038,0.882686210302,0.920216251638,0.914599055323
460,0.913259770845,0.904681393608,0.93329608344,0.904558174578,0.894476372925,0.916101603703,0.906723519067,0.90854965468,0.897943536241,0.904218417814,0.912298494715,0.924632257394,0.881958521753,0.919779379642,0.914490471795
480,0.912915773597,0.904459657973,0.933136441039,0.904235281455,0.894130481056,0.915832526101,0.906434439064,0.908179196105,0.897560174156,0.903686919548,0.912058289741,0.92450231301,0.881516710848,0.919042158148,0.914028991802
500,0.912545315022,0.904154771474,0.932843763304,0.904100742654,0.893651553853,0.915832526101,0.906482619065,0.90780873753,0.897286344095,0.903463130805,0.911844774207,0.924320390873,0.880815011175,0.91879641765,0.913703241218
520,0.912386547061,0.903849884975,0.932630906769,0.903643310731,0.893465304385,0.915428909698,0.906434439064,0.907253049668,0.896766066979,0.903127447689,0.911391053699,0.923956546598,0.88029523364,0.918468763652,0.913377490635
540,0.91191024318,0.903711300202,0.932471264368,0.903428048649,0.893039591315,0.915375094177,0.906265809063,0.906856129766,0.896273172869,0.902763790981,0.911017401516,0.9236186912,0.879749467228,0.918086500655,0.913078885933
560,0.911619168585,0.90357271543,0.932045551298,0.903347325369,0.892959770115,0.915240555376,0.906097179061,0.906723823132,0.895889810783,0.902204319123,0.910883954308,0.923410780186,0.879203700816,0.917977282656,0.912834572995
580,0.911513323278,0.903184678068,0.931859301831,0.903051340006,0.892374414645,0.914971477774,0.905928549059,0.906379825884,0.895615980722,0.901924583193,0.910723817658,0.923124902542,0.878683923281,0.917649628659,0.912535968294
600,0.911301632664,0.902990659386,0.931593231162,0.902701539124,0.892188165177,0.914810031213,0.905808099058,0.906273980577,0.895177852625,0.901477005707,0.910536991566,0.922683091637,0.878320079006,0.91751310616,0.912508822412
620,0.911037019396,0.902658055933,0.931406981694,0.902593908083,0.891842273308,0.914863846733,0.905687649057,0.905903522003,0.894712341521,0.900973481034,0.910083271058,0.922397213992,0.878112167992,0.917294670162,0.91261740594
640,0.910640099495,0.902519471161,0.931114303959,0.902432461522,0.891416560238,0.914675492412,0.905567199056,0.905533063428,0.894274213423,0.900609824326,0.9097896872,0.922189302978,0.877514423827,0.917021625164,0.912373093002
660,0.910481331534,0.902214584661,0.93076841209,0.902405553762,0.891230310771,0.914514045851,0.905543109055,0.90526845016,0.893973000356,0.900022378874,0.90962955055,0.922163314102,0.877202557305,0.916967016164,0.912237363592
680,0.910243179593,0.901992849026,0.930715197957,0.90216338392,0.891044061303,0.914325691529,0.905422659054,0.905030298219,0.893617021277,0.899742642945,0.909522792783,0.922111336348,0.876786735277,0.916666666667,0.912128780064
700,0.910057950306,0.901743396436,0.930635376756,0.90216338392,0.890831204768,0.914244968249,0.905278119053,0.904712762298,0.893178893179,0.899462907016,0.909095761717,0.921903425334,0.876708768647,0.916584753167,0.91193875889
720,0.909634569077,0.901466226891,0.930635376756,0.901894306318,0.8906449553,0.914191152728,0.905109489051,0.904527533011,0.892795531093,0.899155197494,0.908882246183,0.921643536566,0.876318935496,0.916393621669,0.911884467126
740,0.909396417136,0.901161340392,0.930661983823,0.901813583037,0.890352277565,0.913948982887,0.90501312905,0.904474610357,0.892713382075,0.898819514378,0.908615351767,0.921227714538,0.876007068974,0.91631170817,0.911694445953
760,0.909184726522,0.900911887802,0.930635376756,0.901679044236,0.890032992763,0.913841351846,0.90503721905,0.904421687703,0.89246693502,0.898595725635,0.908375146792,0.92073392588,0.87579915796,0.915984054172,0.911531570661
780,0.908893651928,0.900579284348,0.930635376756,0.901598320956,0.889793529161,0.913814444086,0.90501312905,0.904130613109,0.892357402996,0.898427884077,0.908134941817,0.920577992619,0.875409324809,0.915902140673,0.911205820077
800,0.908602577333,0.900523850439,0.930608769689,0.901275427833,0.889580672627,0.913760628565,0.904844499048,0.904024767802,0.892028806922,0.89826004252,0.907948115725,0.920292114975,0.875097458288,0.915792922674,0.911151528313
820,0.908443809373,0.90021896394,0.930555555556,0.901033257992,0.889367816092,0.913464643203,0.904940859049,0.903680770554,0.891700210849,0.898008280184,0.907654531867,0.920084203961,0.874603669629,0.915519877676,0.911042944785
840,0.908152734778,0.899941794396,0.930395913155,0.900952534711,0.888915495956,0.913357012162,0.904868589049,0.90346907994,0.891179933733,0.897700570661,0.907280879684,0.919824315193,0.874135869848,0.915519877676,0.911097236549
860,0.908046889471,0.899747775714,0.93026287782,0.900898719191,0.888596211154,0.913195565601,0.904868589049,0.903336773306,0.891070401709,0.897280966767,0.907120743034,0.919876292947,0.87379801445,0.915328746177,0.911042944785
880,0.907782276203,0.899581473988,0.930103235419,0.90079108815,0.888569604087,0.913222473361,0.904916769049,0.903178005345,0.890878720666,0.89711312521,0.906933916942,0.919564426425,0.873460159052,0.915137614679,0.91082577773
900,0.907782276203,0.899359738352,0.929916985951,0.900710364869,0.888303533418,0.91298030352,0.904820409048,0.903230927999,0.890550124593,0.896945283652,0.906747090851,0.919200582151,0.873278236915,0.914782656182,0.910798631848
920,0.907782276203,0.898971700989,0.929810557684,0.900522010548,0.888143891017,0.91298030352,0.904651779047,0.902992776058,0.890248911526,0.896833389281,0.906667022526,0.918914704506,0.872888403763,0.914564220183,0.91069004832
940,0.907702892223,0.898749965354,0.929863771818,0.900387471747,0.887851213282,0.91303411904,0.904555419046,0.902913392077,0.88986554944,0.896609600537,0.906586954201,0.918706793492,0.87283642601,0.914236566186,0.91069004832
960,0.907491201609,0.898472795809,0.92975734355,0.900226025186,0.88753192848,0.912818856958,0.904531329045,0.902754624117,0.889673868397,0.89644175898,0.906239991459,0.918498882478,0.872732470503,0.913881607689,0.910364297736
980,0.907411817629,0.898278777128,0.929464665815,0.900091486385,0.887292464879,0.912791949198,0.904434969044,0.902595856156,0.889454804348,0.896245943829,0.906079854809,0.918394926971,0.872550548365,0.913663171691,0.91028286009
1000,0.907200127014,0.897973890629,0.929251809281,0.899822408783,0.887132822478,0.912791949198,0.904290429043,0.902490010849,0.889290506312,0.896050128679,0.905839649835,0.918368938094,0.872420603981,0.913444735692,0.910310005972
